Chemical Shift (ppm),Intensity,Integral
1.599,0.02,13.82
1.6,0.02,13.82
1.601,0.02,13.82
1.602,0.02,13.82
1.607,0.02,13.82
1.608,0.04,13.82
1.609,0.05,13.82
1.61,0.06,13.82
1.611,0.07,13.82
1.612,0.08,13.82
1.613,0.08,13.82
1.614,0.09,13.82
1.615,0.09,13.82
1.616,0.1,13.82
1.617,0.11,13.81
1.618,0.12,13.81
1.619,0.14,13.81
1.62,0.16,13.81
1.621,0.19,13.81
1.622,0.25,13.81
1.623,0.36,13.81
1.624,0.48,13.81
1.625,0.57,13.81
1.626,0.64,13.81
1.627,0.65,13.8
1.628,0.61,13.8
1.629,0.52,13.8
1.63,0.41,13.8
1.631,0.32,13.8
1.632,0.25,13.8
1.633,0.22,13.8
1.634,0.2,13.8
1.635,0.18,13.8
1.636,0.17,13.79
1.637,0.16,13.79
1.638,0.16,13.79
1.639,0.16,13.79
1.64,0.16,13.79
1.641,0.17,13.79
1.642,0.18,13.79
1.643,0.18,13.79
1.644,0.19,13.79
1.645,0.2,13.79
1.646,0.22,13.79
1.647,0.23,13.79
1.648,0.24,13.79
1.649,0.25,13.79
1.65,0.27,13.79
1.651,0.3,13.79
1.652,0.34,13.78
1.653,0.39,13.78
1.654,0.45,13.78
1.655,0.5,13.78
1.656,0.57,13.78
1.657,0.6,13.78
1.658,0.63,13.77
1.659,0.64,13.77
1.66,0.64,13.77
1.661,0.63,13.77
1.662,0.59,13.77
1.663,0.54,13.76
1.664,0.51,13.76
1.665,0.46,13.76
1.666,0.42,13.76
1.667,0.4,13.76
1.668,0.38,13.76
1.669,0.38,13.76
1.67,0.38,13.76
1.671,0.39,13.75
1.672,0.4,13.75
1.673,0.41,13.75
1.674,0.42,13.75
1.675,0.44,13.75
1.676,0.45,13.75
1.677,0.46,13.75
1.678,0.48,13.74
1.679,0.5,13.74
1.68,0.51,13.74
1.681,0.52,13.74
1.682,0.54,13.74
1.683,0.56,13.74
1.684,0.59,13.73
1.685,0.62,13.73
1.686,0.64,13.73
1.687,0.67,13.73
1.688,0.7,13.73
1.689,0.73,13.72
1.69,0.76,13.72
1.691,0.8,13.72
1.692,0.84,13.72
1.693,0.88,13.71
1.694,0.94,13.71
1.695,1.0,13.71
1.696,1.07,13.7
1.697,1.16,13.7
1.698,1.25,13.7
1.699,1.35,13.69
1.7,1.49,13.69
1.701,1.63,13.68
1.702,1.79,13.68
1.703,2.0,13.67
1.704,2.2,13.66
1.705,2.41,13.66
1.706,2.6,13.65
1.707,2.7,13.64
1.708,2.72,13.63
1.709,2.65,13.62
1.71,2.52,13.62
1.711,2.38,13.61
1.712,2.24,13.6
1.713,2.12,13.59
1.714,2.03,13.59
1.715,1.98,13.58
1.716,1.94,13.58
1.717,1.92,13.57
1.718,1.91,13.56
1.719,1.91,13.56
1.72,1.91,13.55
1.721,1.92,13.55
1.722,1.94,13.54
1.723,1.97,13.53
1.724,2.0,13.53
1.725,2.05,13.52
1.726,2.1,13.52
1.727,2.17,13.51
1.728,2.26,13.5
1.729,2.36,13.49
1.73,2.47,13.49
1.731,2.62,13.48
1.732,2.78,13.47
1.733,2.95,13.46
1.734,3.16,13.45
1.735,3.38,13.44
1.736,3.62,13.43
1.737,3.91,13.42
1.738,4.22,13.4
1.739,4.57,13.39
1.74,5.02,13.37
1.741,5.57,13.36
1.742,6.17,13.34
1.743,6.94,13.32
1.744,8.05,13.29
1.745,9.37,13.26
1.746,11.07,13.23
1.747,13.67,13.18
1.748,17.13,13.13
1.749,23.01,13.06
1.75,35.42,12.95
1.751,53.93,12.78
1.752,74.69,12.55
1.753,92.01,12.26
1.754,100.0,11.95
1.755,98.87,11.64
1.756,87.76,11.37
1.757,69.78,11.15
1.758,49.22,10.99
1.759,32.18,10.89
1.76,23.02,10.82
1.761,17.55,10.77
1.762,13.6,10.73
1.763,11.12,10.69
1.764,9.33,10.66
1.765,7.93,10.64
1.766,7.05,10.62
1.767,6.43,10.6
1.768,5.95,10.58
1.769,5.69,10.56
1.77,5.57,10.54
1.771,5.55,10.52
1.772,5.67,10.51
1.773,5.9,10.49
1.774,6.26,10.47
1.775,6.84,10.45
1.776,7.56,10.42
1.777,8.5,10.4
1.778,9.98,10.37
1.779,11.94,10.33
1.78,15.1,10.28
1.781,21.47,10.21
1.782,30.53,10.12
1.783,39.59,10.0
1.784,48.6,9.84
1.785,59.43,9.66
1.786,66.6,9.45
1.787,69.72,9.23
1.788,72.64,9.01
1.789,71.55,8.78
1.79,69.94,8.57
1.791,65.15,8.36
1.792,55.0,8.19
1.793,45.64,8.05
1.794,36.5,7.94
1.795,26.17,7.85
1.796,17.69,7.8
1.797,12.94,7.76
1.798,9.89,7.73
1.799,7.62,7.7
1.8,6.01,7.68
1.801,4.92,7.67
1.802,4.11,7.66
1.803,3.43,7.65
1.804,2.96,7.64
1.805,2.58,7.63
1.806,2.24,7.62
1.807,2.0,7.62
1.808,1.8,7.61
1.809,1.62,7.6
1.81,1.48,7.6
1.811,1.37,7.6
1.812,1.26,7.59
1.813,1.18,7.59
1.814,1.11,7.58
1.815,1.04,7.58
1.816,0.97,7.58
1.817,0.91,7.58
1.818,0.85,7.57
1.819,0.8,7.57
1.82,0.76,7.57
1.821,0.71,7.57
1.822,0.68,7.56
1.823,0.65,7.56
1.824,0.62,7.56
1.825,0.6,7.56
1.826,0.58,7.56
1.827,0.56,7.55
1.828,0.53,7.55
1.829,0.51,7.55
1.83,0.49,7.55
1.831,0.47,7.55
1.832,0.46,7.55
1.833,0.45,7.55
1.834,0.44,7.54
1.835,0.43,7.54
1.836,0.42,7.54
1.837,0.41,7.54
1.838,0.39,7.54
1.839,0.37,7.54
1.84,0.36,7.54
1.841,0.35,7.54
1.842,0.34,7.53
1.843,0.33,7.53
1.844,0.32,7.53
1.845,0.31,7.53
1.846,0.31,7.53
1.847,0.31,7.53
1.848,0.3,7.53
1.849,0.3,7.53
1.85,0.29,7.53
1.851,0.29,7.53
1.852,0.28,7.53
1.853,0.28,7.52
1.854,0.27,7.52
1.855,0.26,7.52
1.856,0.25,7.52
1.857,0.25,7.52
1.858,0.24,7.52
1.859,0.24,7.52
1.86,0.24,7.52
1.861,0.24,7.52
1.862,0.23,7.52
1.863,0.23,7.52
1.864,0.22,7.52
1.865,0.22,7.52
1.866,0.22,7.51
1.867,0.22,7.51
1.868,0.22,7.51
1.869,0.23,7.51
1.87,0.23,7.51
1.871,0.25,7.51
1.872,0.26,7.51
1.873,0.29,7.51
1.874,0.35,7.51
1.875,0.44,7.51
1.876,0.56,7.51
1.877,0.67,7.5
1.878,0.72,7.5
1.879,0.72,7.5
1.88,0.67,7.5
1.881,0.58,7.49
1.882,0.46,7.49
1.883,0.35,7.49
1.884,0.29,7.49
1.885,0.26,7.49
1.886,0.23,7.49
1.887,0.21,7.49
1.888,0.2,7.49
1.889,0.19,7.49
1.89,0.18,7.49
1.891,0.18,7.49
1.892,0.18,7.49
1.893,0.17,7.49
1.894,0.17,7.48
1.895,0.17,7.48
1.896,0.16,7.48
1.897,0.16,7.48
1.898,0.16,7.48
1.899,0.17,7.48
1.9,0.17,7.48
1.901,0.18,7.48
1.902,0.19,7.48
1.903,0.19,7.48
1.904,0.19,7.48
1.905,0.2,7.48
1.906,0.22,7.48
1.907,0.25,7.48
1.908,0.3,7.48
1.909,0.35,7.48
1.91,0.39,7.47
1.911,0.46,7.47
1.912,0.49,7.47
1.913,0.5,7.47
1.914,0.52,7.47
1.915,0.51,7.47
1.916,0.49,7.46
1.917,0.45,7.46
1.918,0.39,7.46
1.919,0.35,7.46
1.92,0.29,7.46
1.921,0.23,7.46
1.922,0.18,7.46
1.923,0.16,7.46
1.924,0.15,7.46
1.925,0.14,7.46
1.926,0.13,7.46
1.927,0.13,7.46
1.928,0.12,7.46
1.929,0.12,7.46
1.93,0.12,7.46
1.931,0.12,7.46
1.932,0.12,7.45
1.933,0.12,7.45
1.934,0.12,7.45
1.935,0.12,7.45
1.936,0.12,7.45
1.937,0.12,7.45
1.938,0.12,7.45
1.939,0.11,7.45
1.94,0.11,7.45
1.941,0.11,7.45
1.942,0.11,7.45
1.943,0.1,7.45
1.944,0.1,7.45
1.945,0.1,7.45
1.946,0.1,7.45
1.947,0.1,7.45
1.948,0.1,7.45
1.949,0.1,7.45
1.95,0.09,7.45
1.951,0.09,7.45
1.952,0.08,7.45
1.953,0.08,7.45
1.954,0.07,7.45
1.955,0.07,7.45
1.956,0.07,7.45
1.957,0.07,7.45
1.958,0.07,7.45
1.959,0.07,7.45
1.96,0.07,7.45
1.961,0.07,7.45
1.962,0.07,7.45
1.963,0.07,7.45
1.964,0.07,7.45
1.965,0.07,7.45
1.966,0.07,7.45
1.967,0.07,7.45
1.968,0.07,7.44
1.969,0.07,7.44
1.97,0.07,7.44
1.971,0.06,7.44
1.972,0.06,7.44
1.973,0.06,7.44
1.974,0.07,7.44
1.975,0.07,7.44
1.976,0.07,7.44
1.977,0.07,7.44
1.978,0.07,7.44
1.979,0.07,7.44
1.98,0.08,7.44
1.981,0.08,7.44
1.982,0.09,7.44
1.983,0.09,7.44
